Gene_name,Gene_ID,New_Gene_ID,p,padj,loglik_full,loglik_red,mean,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isMonotonous
 CG11122 ,FBgn0030263,FBgn0030266,0.922382872,0.999775474,-172.3208468,-173.0296265,1557.77436,0.737682021,0.949736616,0.847295311,0.999999999,FALSE
 Klp10A ,FBgn0030266,FBgn0030268,0.741993514,0.999775474,-142.209346,-143.5728212,361.1843128,0.30875222,0.949736616,0.945049453,0.999999999,FALSE
 CDK2AP1 ,FBgn0030268,FBgn0030269,0.900171552,0.999775474,-165.8390273,-166.643475,1596.637796,0.518472347,0.949736616,0.960936522,0.999999999,FALSE
 CG15199 ,FBgn0030269,FBgn0030270,0.320180256,0.999775474,-120.8117096,-123.741216,204.5485277,1,1,0.108386494,0.999999999,FALSE
 CG15202 ,FBgn0030270,FBgn0030271,0.154491516,0.999775474,-81.17598087,-85.19188305,11.75142501,0.057298207,0.949736616,0.510067009,0.999999999,FALSE
 CG15201 ,FBgn0030271,FBgn0030272,0.594810628,0.999775474,-87.45287476,-89.29801636,19.81670743,0.441509043,0.949736616,0.561035349,0.999999999,FALSE
 Lint-1 ,FBgn0030272,FBgn0030274,0.693244492,0.999775474,-79.38994789,-80.91181093,11.34081925,0.541152151,0.949736616,0.611542528,0.999999999,FALSE
 Dlic ,FBgn0030274,FBgn0030276,0.871919764,0.999775474,-128.118775,-129.0345797,284.3586294,1,1,0.373392934,0.999999999,FALSE
 CG1394 ,FBgn0030276,FBgn0030277,0.913546562,0.999775474,-156.2759145,-157.0238468,998.9888593,0.588396107,0.949736616,0.932888352,0.999999999,FALSE
 CG15198 ,FBgn0030277,FBgn0030283,0.957216698,0.999775474,-18.93687519,-19.46901302,0.180956047,0.628480637,0.949736616,0.987277876,0.999999999,FALSE
 Gapvd1 ,FBgn0030283,FBgn0030286,0.951669947,0.999775474,-3.518483023,-4.082071957,0.083882649,0.793413617,0.949736616,0.881553842,0.999999999,FALSE
 GCS1 ,FBgn0030286,FBgn0030289,0.32949838,0.999775474,-150.4476177,-153.3313928,504.3360667,0.894173983,0.983451504,0.136039866,0.999999999,FALSE
 CG11756 ,FBgn0030289,FBgn0030290,0.84299035,0.999775474,-137.7535572,-138.7756772,226.4241317,0.443012493,0.949736616,0.936933383,0.999999999,FALSE
 CG1738 ,FBgn0030290,FBgn0030291,0.753150179,0.999775474,-40.92190147,-42.24888265,1.408943765,0.299901342,0.949736616,0.969954525,0.999999999,FALSE
 CG11752 ,FBgn0030291,FBgn0030292,0.63592226,0.999775474,-122.9284555,-124.6371521,101.6828158,1,1,0.302406563,0.999999999,FALSE
 CG1737 ,FBgn0030292,FBgn0030293,0.760955536,0.999775474,-133.4910022,-134.7923504,154.4836136,0.298701012,0.949736616,0.979805789,0.999999999,FALSE
 Pa1 ,FBgn0030293,FBgn0030294,0.845512328,0.999775474,-138.998413,-140.0114975,340.2350808,0.641400304,0.949736616,0.767917729,0.999999999,FALSE
 CG15196 ,FBgn0030294,FBgn0030296,0.644125471,0.999775474,-138.560113,-140.2418935,258.3937884,0.243501411,0.949736616,0.910400933,0.999999999,FALSE
 Gr10b ,FBgn0030296,FBgn0030297,0.79155941,0.999775474,-108.9077512,-110.1074648,95.21172219,0.554852088,0.949736616,0.747895605,0.999999999,FALSE
 Sk1 ,FBgn0030297,FBgn0030300,0.994266562,0.999775474,-11.04141643,-11.25963103,0.334782327,0.847370509,0.962286024,0.991206834,0.999999999,FALSE
 HP5 ,FBgn0030300,FBgn0030301,0.85351574,0.999775474,-73.53880004,-74.5229427,10.10061741,0.674408155,0.949736616,0.757697941,0.999999999,FALSE
 Cyp4g15 ,FBgn0030301,FBgn0030304,0.92490552,0.999775474,-145.468086,-146.1653747,600.5248705,0.507316797,0.949736616,0.998102466,0.999999999,FALSE
 Uba5 ,FBgn0030304,FBgn0030305,0.658936241,0.999775474,-32.74370753,-34.37708161,0.557303581,0.383321406,0.949736616,0.7175352,0.999999999,FALSE
 Spase25 ,FBgn0030305,FBgn0030306,0.942800875,0.999775474,-132.3175994,-132.9283356,222.9339587,0.785516197,0.949736616,0.864079033,0.999999999,FALSE
 CG33235 ,FBgn0030306,FBgn0030307,0.806496499,0.999775474,-143.0877618,-144.23698,642.1757821,0.563569962,0.949736616,0.764656423,0.999999999,FALSE
 CG1572 ,FBgn0030307,FBgn0030309,0.990423293,0.999775474,-64.62960243,-64.90160475,4.940499948,0.768615687,0.949736616,0.99937827,0.999999999,FALSE
 PGRP-SA ,FBgn0030309,FBgn0030310,0.366273966,0.999775474,-163.4574234,-166.1697711,723.3062461,0.297408548,0.949736616,0.391717928,0.999999999,FALSE
 CG11699 ,FBgn0030310,FBgn0030311,0.83775397,0.999775474,-131.5374288,-132.5781894,115.6364366,0.453000239,0.949736616,0.919375401,0.999999999,FALSE
 Reepl1 ,FBgn0030311,FBgn0030313,0.771430573,0.999775474,-127.6869326,-128.9537194,168.9100813,0.351164796,0.949736616,0.931738992,0.999999999,FALSE
 CG11696 ,FBgn0030313,FBgn0030314,0.759256028,0.999775474,-45.13034576,-46.43728323,2.168708205,0.367157438,0.949736616,0.894151767,0.999999999,FALSE
 CG11695 ,FBgn0030314,FBgn0030316,0.8121285,0.999775474,-113.3396313,-114.4696142,108.8754307,0.749773107,0.949736616,0.640497592,0.999999999,FALSE
 CG1561 ,FBgn0030316,FBgn0030317,0.510886078,0.999775474,-107.7092095,-109.8454594,97.30946934,0.316700262,0.949736616,0.578050225,0.999999999,FALSE
 rho-4 ,FBgn0030317,FBgn0030318,0.943518869,0.999775474,-90.43531446,-91.04235754,26.27471195,0.562951837,0.949736616,0.995681058,0.999999999,FALSE
 CG2533 ,FBgn0030318,FBgn0030319,0.855579273,0.999775474,-171.3364876,-172.3130979,1067.027739,0.891933545,0.982357287,0.631502175,0.999999999,FALSE
 CG2247 ,FBgn0030319,FBgn0030320,0.449897893,0.999775474,-55.74606391,-58.11033931,2.725292683,0.35840538,0.949736616,0.444257978,0.999999999,FALSE
 CG1703 ,FBgn0030320,FBgn0030321,0.58426785,0.999775474,-132.3501702,-134.2308228,324.6677661,0.999998258,1,0.288419591,0.999999999,FALSE
 Vlet ,FBgn0030321,FBgn0030323,0.071696502,0.999775474,-178.4778191,-183.5416734,1632.160587,0.212796699,0.949736616,0.070857361,0.999999999,FALSE
 CG2444 ,FBgn0030323,FBgn0030326,0.791451309,0.999775474,-101.5707979,-102.7708745,55.23407066,0.309557771,0.949736616,0.996631689,0.999999999,FALSE
