Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031108,0.346397732,0.999775474,-31.70491771,-34.50822052,9,4,0.76232598,0,0,0,0.460995987,0.949736616,0.255282245,0.999999999,FALSE,FALSE,FALSE
FBgn0031111,0.856006263,0.999775474,-62.17227766,-63.14732557,9,4,4.666102639,0,0,0,0.3926185,0.949736616,0.994095936,0.999999999,FALSE,FALSE,FALSE
FBgn0031114,0.651355206,0.999775474,-134.9474573,-136.6055808,9,4,253.8529159,0,0,0,1,1,0.325705823,0.999999999,FALSE,FALSE,FALSE
FBgn0031115,0.559374278,0.999775474,-139.8150911,-141.7806538,9,4,316.0216727,0,0,0,0.632826593,0.949736616,0.389163658,0.999999999,FALSE,FALSE,FALSE
FBgn0031116,0.844224159,0.999775474,-90.65163353,-91.66933802,9,4,17.72129792,0,0,0,0.807402868,0.95222425,0.657680495,0.999999999,FALSE,FALSE,FALSE
FBgn0031117,0.666507592,0.999775474,-118.3281223,-119.9368284,9,4,117.9529218,0,0,0,0.425494316,0.949736616,0.680331871,0.999999999,FALSE,FALSE,FALSE
FBgn0031118,0.923725476,0.999775474,-150.957142,-151.6598247,9,4,509.5869583,0,0,0,0.756097388,0.949736616,0.838388821,0.999999999,FALSE,FALSE,FALSE
FBgn0031119,0.950531416,0.999775474,-131.784869,-132.3547104,9,4,173.5019426,0,0,0,0.613501102,0.949736616,0.983397742,0.999999999,FALSE,FALSE,FALSE
FBgn0031126,0.47435479,0.999775474,-109.9465246,-112.2172572,9,4,62.28693253,0,0,0,0.478594421,0.949736616,0.381310282,0.999999999,FALSE,FALSE,FALSE
FBgn0031127,0.411317207,0.999775474,-31.63805905,-34.15682393,9,4,0.653187684,0,0,0,0.092028812,0.949736616,0.966250652,0.999999999,FALSE,FALSE,FALSE
