gene_name,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GstE10,FBgn0063499,101.429416118317,0.123220383420875,0.131716193058241,131.867321982222,1.55245649851289e-27,3.90790773763589e-27
Nup153,FBgn0061200,3520.42855843799,0.319013732729091,0.131046829808643,119.740475691713,6.06863576216739e-25,1.50173020555329e-24
neur,FBgn0002932,41.9300713846135,0.090941947358431,0.120900090539754,117.024027374031,2.30759705623686e-24,5.61515283684302e-24
Cisd2,FBgn0062442,697.745559652444,-0.132802248648868,0.0981257673596528,116.398203850213,3.13881920031829e-24,7.51258365977821e-24
ovo,FBgn0003028,1864.84635155644,0.027640045722427,0.103490921953964,106.174205892835,4.76055788461812e-22,1.12103459863588e-21
lncRNA:CR46103,FBgn0267772,12.9448461181468,-0.139047410055627,0.127402512212562,105.303019833386,7.2999809728392e-22,1.69174162227702e-21
dally,FBgn0263930,107.853582160716,-0.0161695257244908,0.122434696603958,103.883589022387,1.46475139962643e-21,3.34146413039779e-21
Shc,FBgn0015296,56.9918937170803,-0.0279827691683003,0.133599271807277,102.291423317013,3.19829303695922e-21,7.18385820609301e-21
Roc1a,FBgn0025638,22.4708122401267,-0.223795723025625,0.140980802383564,97.2293772061241,3.82401220894325e-20,8.45917852281386e-20
msn,FBgn0010909,16.0049843026227,-0.0848698557206318,0.13370844252007,95.4452953036471,9.16322484673068e-20,1.99676242928758e-19
a,FBgn0000008,109.01233592303,-0.0293895403604418,0.122050331279262,90.9356831732243,8.33143470494093e-19,1.78880803959026e-18
pan,FBgn0085432,115.620443278146,-0.0942610286743259,0.141267789794017,85.780770704633,1.03588539196453e-17,2.19187343806989e-17
CR40182,FBgn0058182,13.9987849981795,0.350466364711521,0.134429215269108,83.8683690896173,2.63644228042693e-17,5.4988653277476e-17
Cul4,FBgn0033260,144.125835145805,-0.0161770282916845,0.123083728171407,82.7017843721671,4.66013250675448e-17,9.58280768994583e-17
