gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
csw,FBgn0000382,1.58022982731116e-84,1.38709062619535e-83,-98.7706865432407,-299.405276040485,10,5,1358.15655306539,0,0,0,0.000356288121000375,0.00201048296850212,3.23382252011811e-83,3.17600653655673e-82,FALSE,TRUE,FALSE
loj,FBgn0061492,5.40829027520898e-83,4.57773141151618e-82,-68.6327600855266,-265.707684511191,10,5,247.364115877051,0,0,0,5.09093694786614e-07,4.16052433325612e-06,7.74499777454046e-79,6.55558740202175e-78,FALSE,TRUE,FALSE
Smr,FBgn0265523,5.14473819595966e-79,4.20449293945668e-78,-85.4557440048804,-273.298693063519,10,5,351.314363206119,0,0,0,1.96236640478285e-16,3.87567364944614e-15,1.87241201575027e-65,1.34473226585701e-64,FALSE,TRUE,FALSE
boi,FBgn0040388,7.42836386740884e-79,5.86840745525298e-78,-88.3712994905479,-275.843973422438,10,5,473.624039395036,0,0,0,0.997391318842365,1,5.92736055081475e-81,5.40301711747344e-80,FALSE,TRUE,FALSE
fu,FBgn0001079,1.20741959782288e-76,9.23091757045232e-76,-77.1329257758888,-259.473251786362,10,5,376.186116263539,0,0,0,8.928959993491e-07,7.05387839485789e-06,1.06347275838591e-72,7.87634511679561e-72,FALSE,TRUE,FALSE
dco,FBgn0002413,6.74030636723417e-71,4.99203940323281e-70,-174.850383153283,-343.844797830272,10,5,272.759412025593,0,0,0,4.04257802310925e-74,4.79045495738446e-72,0.999999999803653,0.999999999803653,FALSE,FALSE,FALSE
kuz,FBgn0259984,8.60833470233849e-69,6.18234946804309e-68,-62.6473686189735,-226.748174356238,10,5,117.236559435127,0,0,0,1.71270159407324e-11,2.02955138897679e-10,4.20960365189316e-60,2.771322404163e-59,TRUE,FALSE,FALSE
lncRNA:CR46076,FBgn0267745,1.5170190517288e-60,1.05745151546978e-59,-126.48921770487,-271.417584519279,10,5,2495.43477360843,0,0,0,0.997791602952152,1,1.56274916227061e-62,1.08932809252393e-61,FALSE,TRUE,FALSE
usp,FBgn0003964,4.04681079875839e-60,2.74026902658782e-59,-30.0550919506324,-173.99205168785,10,5,24.1156206796834,0,0,0,0.169959352704619,0.601199501358132,2.44905238706391e-61,1.65835833066899e-60,FALSE,TRUE,FALSE
pain,FBgn0060296,1.96995255715891e-58,1.29688543346295e-57,-82.3202081560211,-222.330721712328,10,5,410.539722354385,0,0,0,0.135837892228388,0.495285853201968,1.53167810517741e-59,9.81101921424452e-59,FALSE,TRUE,FALSE
EcR,FBgn0000546,1.59087731555539e-53,1.01902141563953e-52,-27.8832393909973,-156.467803599492,10,5,28.1601059263479,0,0,0,4.11235095177835e-13,5.73310103277335e-12,3.95451493565432e-43,2.23147628511923e-42,TRUE,FALSE,FALSE
gro,FBgn0001139,5.7896536451596e-53,3.61091556290217e-52,-53.5891645629278,-180.866736552182,10,5,47.3041293062262,0,0,0,0.999999999894712,1,6.76986433973215e-55,4.2222574960961e-54,FALSE,TRUE,FALSE
fz,FBgn0001085,1.08976514940847e-51,6.62241898486685e-51,-91.2739021420071,-215.581275174704,10,5,1028.82382214122,0,0,0,1.77215900082919e-10,1.82609427476747e-09,6.66885272760508e-44,3.95129524110601e-43,TRUE,FALSE,FALSE
disp,FBgn0029088,2.42466188277808e-49,1.40157284443513e-48,-62.462947739904,-181.298448343543,10,5,230.543178002918,0,0,0,4.70479771401742e-11,5.06835026464604e-10,5.77520713021713e-41,3.04160908858102e-40,TRUE,FALSE,FALSE
Sos,FBgn0001965,2.42466188277808e-49,1.40157284443513e-48,-62.462947739904,-181.298448343543,10,5,230.543178002918,0,0,0,4.70479771401742e-11,5.06835026464604e-10,5.77520713021713e-41,3.04160908858102e-40,TRUE,FALSE,FALSE
flw,FBgn0000711,3.5224707487926e-44,1.98767992253297e-43,-75.9339171912476,-182.724128199604,10,5,255.317018751021,0,0,0,6.6552534032991e-14,9.8580941036368e-13,6.24297025610973e-33,3.08246656395418e-32,TRUE,FALSE,FALSE
Su(fu),FBgn0005355,1.24490557863223e-42,6.86145632874042e-42,-85.6804350151389,-188.854394087307,10,5,363.398687149565,0,0,0,0.420916228604538,1,4.24073921481401e-44,2.57706459977159e-43,FALSE,TRUE,FALSE
Lasp,FBgn0063485,1.13451451460855e-41,6.11090772641426e-41,-63.2073421462631,-164.138932097291,10,5,124.530195983034,0,0,0,0.997067523274153,1,1.67432935240445e-43,9.67844040292327e-43,FALSE,TRUE,FALSE
